Record Type|Document Number|Local Report Number|Crash Severity|Private Property Indicator|Hit/Skip|Photos Taken|Reporting Agency NCIC|Number of Units|Unit in Error|Crash Date|Time of Crash|Day of Week|In City, Village, Township|FIPS Place Code|Enter Name of City, Village, Township|County|Latitude|Longitude|Crash/Loc Prefix|Location Road Name|Location Road Type|Distance from Reference|Direction from Reference|Ref Road Prefix|Reference Road Name|Reference Route Type|Reference Point Used|Crash Location|Location of First Harmful Event|Road Contour|Road Conditions - Primary|Road Conditions - Secondary|Manner of Crash Collision/Impact|Weather|Light Conditions - Primary|Light Conditions - Secondary|School Bus Related|Work Zone Related|Type of Work Zone|Location of Crash in Work Zone|Workers Present|Road Surface|Number of Lanes|Alcohol Related|Drug Related|Total Injured|Total Killed|Animal Related|Bicycle Related|Motorcycle Related|Speed Related|Pedestrian Related|Semi-Truck Related|Small Truck Related|Youth Related|Teen Related|Drinking Driver <21 Related|Senior Related|Local Information|Divided/Undivided roadway|Divided Lane Direction of Travel|Location Route Number|Location Route Type|Distance from Reference Measurement|Reference Route Number|Intersection Related|School Zone Related|Law Enforcement Present in Work Zone|Reference Road Type
C|20146058539|140456944|3|0|0|0|COP00|2|2|6032014|1015|3|1|18000|Columbus|25|40.122416|83.01550999999998||Flint|RD|40.0|N||pocono||1|1|1|3|1||2|2|1||1|0|0|0|0.0|2|1|0|0|0|0|0|0|0|0|0|0|1|1|1|0|0|140456944|1|S|||2||0|0|1|RD
C|20144005995|14272|3|0|0|0|05709|2|1|2032014|1457|2|1|52010|Moraine|57|39.715805|84.2196||||0.0|||50.2||2|1|1|1|1|9.0|2|1|1||1|0|0|0|0.0|2|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||1|N|75|IR|0||0|0|1|MP
C|20146058666|47-0784-47|2|0|1|1|OHP47|2|2|6012014|1555|1|3|72060|Sheffield|47|41.418146|82.14024||||0.0||||TR|1|2|1|1|1||2|1|1||1|0|0|0|0.0|2|2|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0||2||1|CR|0|1366|1|0|1|
C|20147015376|LP140312000929|3|0|0|1|08316|2|1|3122014|700|4|3|15700|Clear Creek (Township of)|83|39.56884|84.19249|E|LYTLE-FIVE POINTS|RD|0.0|||BUNNEL HILL||1|2|1|1|2|9.0|6|4|5||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||2||||0||1|0|1|RD
C|20147015475|201401740|3|0|0|0|04807|2|1|2192014|1549|4|1|77000|Toledo|48|41.678942|83.52662|E|CENTRAL|AV|10.0|W||STICKNEY||1|1|1|1|2|9.0|6|1|1||1|0|0|0|0.0|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1||2||||2||0|0|1|AV
C|20147015575|2014-00004747|2|0|0|1|06703|2|2|4072014|813|2|1|39872|Kent|67|41.151149|81.35874||||200.0|W|||SR|1|1|1|2|1|9.0|7|1|1||1|0|0|0|0.0|1|5|0|1|2|0|0|0|0|1|0|0|0|0|0|0|0||2||59|SR|2|43|0|0|1|
C|20147015674|140311009830|3|0|0|1|08300|2|1|3112014|1709|3|3|21238|Deerfield (Township of)|83|39.296725|84.31653||MASON MONTGOMERY|RD|0.0|||009735||3|10|1|1|1|9.0|2|1|1||1|0|0|0|0.0|2|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||2||||0||0|0|1|
C|20147015774|2014-0213|2|0|0|0|07700|2|1|2042014|2234|3|3|19036|Coventry (Township of)|77|40.997939|81.55721||MANCHESTER|RD|0.0|||STATE MILL||1|3|1|1|3|9.0|2|6|5||1|0|0|0|0.0|2|2|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0||2||||0||1|0|1|RD
C|20146058804|140462544|3|0|0|0|COP00|2|2|6042014|2217|4|1|18000|Columbus|25|39.996816|82.99673|E|12th|AV|700.0|W||Big Four||1|1|2|1|1||7|1|4||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|44|2||||3||0|0|1|ST
C|20146058844|140442892|3|0|0|0|COP00|2|2|5302014|647|6|1|18000|Columbus|25|39.933513|82.94221999999998||Frebis|AV|0.0|||alum creek||1|1|1|1|1||2|1|1||1|0|0|0|0.0|2|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||2||||0||0|0|1|DR
C|20144006127|02042014-1|2|0|0|0|02532|2|1|2042014|1632|3|3|28280|Franklin (Township of)|25|39.953933|83.09533|W|BROAD|ST|50.0|E||VOLNEY||1|1|1|1|1|9.0|8|2|1||1|0|0|0|0.0|2|6|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0||2||40|US|2||0|0|1|AV
C|20146058958|ECSO-14-1991|3|0|0|1|02200|2|1|5222014|916|5|3|32578|Groton (Township of)|22|41.35218|82.75365||||0.0||||SR|1|2|1|1|1|99.0|2|1|1|9.0|1|0|0|0||1|2|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0||2||4|SR|0|99|1|0|0|
C|20146059035|145004299|3|0|0|0|CIP00|2|1|6042014|935|4|1|15000|Cincinnati|31|39.101762|84.51975||Central|AV|0.0|||600||3|2|1|1|2||6|4|1||1|0|0|0|0.0|2|6|0|0|0|0|0|0|0|0|0|0|1|1|1|0|0|CENTRAL BUSINESS|2||||0||1|0|1|
C|20146059135|72-0585-72|2|0|0|1|OHP72|2|1|6032014|1530|3|3|66460|Rice (Township of)|72|41.441032|83.13532||||0.1|S||16||2|1|1|1|1||6|1|1||1|0|0|0|0.0|2|2|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0||2||19|SR|1||0|0|1|MP
C|20146059198|14-04418|3|0|0|0|02301|2|1|6042014|1515|4|1|41720|Lancaster|23|39.713338|82.60798||LINCOLN|AV|0.0|||WHILEY||1|3|1|2|2||6|4|1||1|0|0|0||2|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1||2||22|US|0||1|0|0|AV
C|20147015835|2014-4558|3|0|0|1|08703|2|2|4052014|1535|7|1|62148|Perrysburg|87|41.550252|83.60355||||45.0|E|||IR|1|1|1|1|1|9.0|7|1|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1||1|E|20|US|2|75|0|0|1|
C|20147015934|1-14-416|2|0|0|0|06900|1|1|3072014|2134|6|3|58996|Ottawa (Township of)|69|41.036167|83.99595||||0.0|||ROAD J||1|3|9|1|1|9.0|1|2|5||1|0|0|0|0.0|2|2|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0||2||7|CR|0||0|0|1|RD
C|20147016034|TRC14-0182|3|0|0|1|02400|2|1|3082014|1626|7|3|38598|Jefferson (Township of)|24|39.617434|83.60375||||440.0|E||ALLEN||1|3|1|1|1|9.0|6|1|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||1|W|435|SR|2||1|0|1|RD
C|20147016132|2014-000005392|3|0|0|0|04704|2|2|3112014|616|3|1|25256|Elyria|47|41.409927|82.11787||||10.0|S||BEECHWOOD||1|3|1|1|1|2.0|4|2|5||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0||1|N|57|SR|2||1|0|1|DR
C|20147016227|2014-360|3|0|0|0|00915|2|1|3042014|1716|3|3|78246|West Chester (Township of) AKA Union Township|9|39.353744|84.3697||TYLERSVILLE|RD|40.0|W||KINGSGATE||1|10|1|1|1|9.0|6|1|1||1|0|0|0|0.0|2|4|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0||2||||2||1|0|1|WA
C|20147016328|14-889|3|0|1|1|03100|2|2|3042014|2245|3|3|75973|Sycamore (Township of)|31|39.225426|84.36764000000002||||50.0|W|||IR|1|1|1|1|1|9.0|7|1|4||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0||2||126|SR|3|71|0|0|1|
C|20147016428|20144793|3|0|0|0|07703|2|2|3052014|1457|4|1|19778|Cuyahoga Falls|77|41.139474|81.48631||4TH|ST|0.13|N||STOW||1|10|1|1|1|9.0|6|2|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0||2||||1||0|0|1|AV
C|20147016528|108882|3|0|0|1|02507|2|2|3142014|1740|6|1|35476|Hilliard (RR name Hilliards)|25|40.028824|83.16095||SCIOTO DARBY|RD|0.0|||MAIN||1|5|1|3|1|9.0|6|2|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0||2||||0||1|0|1|ST
C|20147016627|20143970|3|0|0|0|07703|2|2|2222014|701|7|1|19778|Cuyahoga Falls|77|41.129519|81.51951||SACKETT|AV|50.0|E||CALVERT||1|10|6|4|4|7.0|1|1|2||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0||2||||2||0|0|1|DR
C|20147016726|003050|3|0|0|0|04313|1|1|3082014|1556|7|1|85512|Willoughby Hills|43|41.587017|81.44779||||0.0|||0039.6||2|1|2|1|3|9.0|1|6|1||1|0|0|0|0.0|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1||1|S|271|IR|0||0|0|1|MP
C|20147016825|14004649|3|0|0|1|07001|1|1|2262014|837|4|1|47138|Mansfield|70|40.748256|82.48764||OAK|ST|999.0|W|S|ILLINIOS||1|3|1|3|4|7.0|1|2|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0||2||||2||0|0|1|AV
C|20147016925|14CR0999|3|0|0|1|02300|2|1|3162014|1845|1|1|25970|Fairfield|31|39.877395|82.72091||REYNOLDSBURG BALTIMORE|RD|0.0|||ALLEN||1|2|1|1|1|9.0|6|1|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1||2||||0||1|0|1|RD
C|20147017026|201401548|3|0|2|0|04807|1|1|2172014|240|2|1|77000|Toledo|48|41.638147|83.63749||HILL|AV|0.0|||004049||3|1|1|1|2|3.0|1|1|4||1|1|1|2|0.0|2|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||1|E|||0||0|0|1|
C|20147017125|14-1042|3|0|0|1|03100|2|1|3202014|1825|5|3|75973|Sycamore (Township of)|31|39.205614|84.36709|E|GALBRAITH|RD|0.0|||MONTGOMERY||1|2|1|1|1|9.0|2|1|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0||2||||0||1|0|1|RD
C|20147017225|14-4887|3|0|2|0|04306|2|1|3132014|915|5|1|49056|Mentor|43|41.686578|81.33813||||100.0|E||CENTER|SR|1|1|1|2|2|7.0|6|6|1||1|0|0|0|0.0|2|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||1|E|2|SR|3|615|0|0|1|ST
C|20146059330|15-0526-15|3|0|0|1|OHP15|2|2|6052014|1820|5|3|25998|Fairfield (Township of)|15|40.872712|80.66919||||0.2|N|||TR|1|1|1|1|1||7|1|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0||2||422|CR|1|884|0|0|1|
C|20146059363|201401585|2|0|0|1|06712|2|2|6032014|1617|3|1|75014|Streetsboro|67|41.26237800000001|81.36367||FROST|RD|0.0|||833||3|1|1|1|1||2|2|1||1|0|0|0|0.0|2|2|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|WOODLANDS APARTMENTS|2||||0||0|0|1|
C|20144006357|2014-04-0482|1|0|0|1|00900|1|99|4192014|1215|7|3|43050|Liberty (Township of)|9|39.406417|84.36816||CINICNNATI DAYTON|RD|0.0|||5704||3|1|1|2|1|9.0|1|1|5||1|0|0|0|0.0|2|2|1|0|0|1|0|0|0|0|0|0|1|0|0|0|0||2||||0||0|0|1|
C|20146059436|2014000003134|3|0|0|0|03115|2|1|4282014|750|2|2|32158|Greenhills|31|39.274432|84.52261||Winton Road|RD|0.0|||Sharon Rd||1|1|1|2|2||2|4|2||1|0|0|0||2|4|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0||1|N|||0||0|0|0|RD
C|20144006481|1402702|3|0|0|0|07501|2|1|2052014|1308|4|1|72424|Sidney|75|40.28765|84.19655999999998||MICHIGAN|ST|0.0|||STOLLE||1|2|1|1|4|3.0|7|2|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||2||||0||1|0|1|AV
C|20144006558|201401199|2|0|0|0|04807|3|1|2062014|1250|5|1|77000|Toledo|48|41.60482|83.60717|S|DETROIT|AV|0.0|||SHERWOOD||1|3|1|2|2|4.0|6|1|1||1|0|0|0|0.0|2|2|0|0|1|0|0|0|0|0|0|0|0|1|1|0|1||2||||0||1|0|1|DR
C|20146059539|140467778|3|0|0|0|COP00|2|2|6062014|1637|6|1|18000|Columbus|25|39.997325|82.97785||Cleveland|AV|0.0|||Windsor||1|3|1|1|1||6|1|1||1|0|0|0|0.0|2|4|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0||2||||0||1|0|1|AV
C|20146059639|140056031|3|0|0|0|COP00|1|1|1202014|2300|2|1|18000|Columbus|25|40.106561|82.98009||||500.0|S|||IR|1|1|4|3|1||1|1|4||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|COPOO|2||71|IR|3|270|0|0|1|
C|20146059739|14MPD0869|3|0|0|1|03801|3|1|6012014|1655|1|2|50372|Millersburg|38|40.548668|81.91795|S|Washington street|ST|20.0|S||Quail street||1|1|1|1|1||2|1|1||1|0|0|0||2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1||2||||2||1|0|0|ST
C|20146059839|91-0382-77|3|0|0|1|OHP91|1|98|6062014|2235|6|1|36651|Hudson|77|41.25600900000001|81.47896999999998||||0.2|E||181||2|1|1|1|1||1|1|5||1|0|0|0|0.0|2|3|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|WB|1|W|80|IR|1||0|0|1|MP
C|20146059939|85-0736-38|3|0|0|1|OHP85|2|1|5222014|850|5|3|70156|Salt Creek (Township of)|38|40.617491|81.82111||||0.2|E||7||2|1|1|2|1||2|2|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0||2||0241|SR|1||1|0|1|MP
C|20146060039|1-14-5977|3|0|0|1|01316|1|1|6082014|1533|1|3|78288|Union (Township of)|13|39.089423|84.27226||AICHOLTZ|RD|0.0|||EASTGATE SQUARE|CR|1|3|1|4|2|99.0|1|2|1|9.0|1|0|0|0||2|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|AICHOLTZ RD AT EASTG|2||3|CR|0|385|0|0|0|DR
C|20146060139|79-0704-79|3|0|0|1|OHP79|1|98|6062014|2130|6|3|81060|Warwick (Township of)|79|40.383224|81.42388000000003||||0.4|N||3||2|1|1|1|1||1|1|5||1|0|0|0|0.0|2|2|0|0|0|0|1|0|0|0|0|0|0|1|1|0|0||2||416|SR|1||0|0|1|MP
C|20144006653|TCR14-05|3|0|0|0|02208|2|1|2062014|750|5|2|50134|Milan|22|41.294989|82.60023000000002|S|EDISON|DR|0.0|N|E|JUDSON||1|2|1|1|3|9.0|6|2|1||2|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0||2||||2||0|0|1|ST
C|20144006721|2014-231|3|0|0|0|00915|2|1|2062014|848|5|3|78246|West Chester (Township of) AKA Union Township|9|39.350147|84.39526||CINCINNATI DAYTON|RD|300.0|N||FOUNTAINS||1|1|1|2|4|9.0|2|1|1||1|0|0|0|0.0|2|4|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0||2||||2||0|0|1|BL
C|20144006786|201401235|3|0|2|0|04807|3|3|2072014|2300|6|1|77000|Toledo|48|41.626742|83.58261999999998||HAMPTON|AV|0.0|||000725||3|1|1|1|2|9.0|2|1|4||1|0|0|0|0.0|1|2|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0||2||||0||0|0|1|
C|20144006860|1400365|2|0|0|0|07601|3|1|2072014|1545|6|1|1420|Alliance|76|40.923237|81.09857|E|PATTERSON|ST|0.0||N|FREEDOM||1|2|1|1|2|9.0|6|1|1||1|0|0|0|0.0|2|2|0|0|3|0|0|0|0|0|0|0|1|0|0|0|0||2||||0||1|0|1|AV
C|20146060337|60-0461-60|3|0|0|1|OHP60|1|1|6072014|300|7|3|53438|Muskingum (Township of)|60|40.050166|82.02141999999998||||0.1|S|||CR|1|1|4|2|1|5.0|1|1|5||1|0|0|0|0.0|4|2|1|0|0|0|0|0|0|1|0|0|0|1|0|0|0|DRESDEN ROAD|2||2|CR|1|49|0|0|1|
C|20144006947|201401279|2|0|0|0|04807|2|2|2072014|1630|6|1|77000|Toledo|48|41.594701|83.68512||MANLEY|RD|100.0|S||GARDEN||1|1|1|1|1|9.0|6|1|1||1|0|0|0|0.0|2|2|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1||2||||2||0|0|1|RD
C|20146060450|145004391|3|0|2|0|CIP00|2|1|6052014|1930|5|1|15000|Cincinnati|31|39.125927|84.51906||Atkinson|ST|0.0|||230||3|10|1|1|1||1|1|4||1|0|0|0|0.0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|2||||0||0|0|1|
C|20144007014|14PI01430|3|0|2|0|05502|2|1|2082014|1847|7|1|62848|Piqua|55|40.153736|84.25063||PARK|AV|0.0|||000750||3|1|1|1|1|3.0|1|1|4||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0||2||||0||0|0|1|
C|20146060614|2014000003536|3|0|0|0|03123|2|1|6052014|1218|5|1|51716|Montgomery|31|39.230151|84.35318000000002|||HW|0.0|||009609||3|1|1|2|1||6|2|1||1|0|0|0||2|3|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1||2||0022|US|0||0|0|1|
C|20147017354|1142183|3|0|0|0|02508|2|1|3212014|1757|6|1|66390|Reynoldsburg|25|39.97316|82.82234||RUGOSA|AV|10.0|W||ROSEHILL||1|1|9|1|1|9.0|5|1|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0||2||||2||0|0|1|RD
C|20147017453|14-0004913|3|0|0|1|03200|2|1|3132014|915|5|3|47698|Marion (Township of)|32|41.080551|83.62504||||999.0|W|||TR|1|1|1|1|4|3.0|6|1|1||1|0|0|0|0.0|2|4|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1||2||212|CR|2|230|0|0|1|
C|20147017553|14C00092|3|0|0|1|08001|2|2|3072014|1423|6|1|48160|Marysville|80|40.237705|83.34980999999998||DEALWARE|AV|35.0|E||COLEMAN CROSSING||1|1|1|1|1|9.0|7|1|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||1|E|||2||1|0|1|BL
C|20147017653|1490415|3|0|0|0|01818|2|1|4132014|1523|1|1|25704|Euclid|18|41.626606|81.48929||LAKESHORE|BL|0.0|||WESTBROOK||1|3|1|1|1|9.0|2|2|1||1|0|0|0|0.0|2|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||2||283|SR|0||1|0|1|AV
C|20147017753|201402803|3|0|0|0|04807|2|1|3282014|1720|6|1|77000|Toledo|48|41.624225|83.62592|S|BYRNE|RD|50.0|S||AIRPORT|SR|1|1|1|2|1|9.0|6|2|1||1|0|0|0|0.0|2|4|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1||2||||2|2|0|0|1|HW
C|20147017853|2014-509|2|0|0|1|00915|2|1|4142014|749|2|3|78246|West Chester (Township of) AKA Union Township|9|39.36093|84.4218||LESOURDSVILLE WEST CHESTER|RD|200.0|N||TYLERSVILLE||1|1|1|2|2|9.0|2|4|1||1|0|0|0|0.0|2|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0||1|S|||3||1|0|1|RD
C|20147017953|201401865|3|0|0|0|04807|2|2|2232014|1225|1|1|77000|Toledo|48|41.72227700000001|83.53615|E|ALEXIS|RD|0.0||N|DETROIT||1|2|1|1|1|9.0|6|1|9||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||2||||0||1|0|1|AV
C|20147018053|140583|3|0|0|0|02500|2|1|4032014|643|5|3|38612|Jefferson (Township of)|25|40.042564|82.78759000000002||WAGGONER|RD|3.0|E||CLARK STATE||1|3|1|1|2|9.0|6|2|2||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0||2||||2||1|0|1|RD
C|20147018153|14-745|3|0|2|0|03131|2|1|3112014|1250|3|1|71892|Sharonville|31|39.286694|84.40498000000002||||0.0|||0045.7||2|1|1|1|1|9.0|1|1|1||1|0|0|0|0.0|2|3|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0||1|E|275|IR|0||0|0|1|MP
C|20147018253|1400090|3|0|0|1|01829|2|2|2102014|958|2|1|48482|Mayfield Heights|18|41.520064|81.46265||||200.0|E||LANDER||1|1|1|1|2|9.0|6|6|1||1|0|0|0|0.0|2|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1||2||322|US|2||0|0|1|RD
C|20147018352|03223|3|0|2|0|CLP00|2|2|3072014|1630|6|1|16000|Cleveland|18|41.560279|81.56752||HOLMES|AV|0.0||E|000162||1|3|1|3|1|9.0|6|1|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||2||||0||1|0|1|ST
C|20147018452|21403141|3|0|0|0|07710|1|1|3312014|1212|2|1|57260|Norton|77|41.030844|81.63829|S|CLEVE MASS|RD|0.0|||003963||3|1|6|2|1|9.0|1|1|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0||2||||0||0|0|1|
C|20147018551|1410892|3|0|0|1|05201|2|2|3302014|1511|1|1|9680|Brunswick|52|41.254817|81.80798|N|CARPENTER|RD|0.0|||JAMES||1|2|1|1|1|9.0|2|1|1||1|0|0|0|0.0|1|2|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0||2||||0||1|0|1|BL
C|20147018651|14-033780|3|0|0|1|00902|3|1|3262014|754|4|1|33012|Hamilton|9|39.366657|84.54439||BOBMEYER|RD|50.0|E||RAMONA||1|1|1|2|1|9.0|2|1|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|1|1|1|0|0||2||||2||0|0|1|LA
C|20147018750|1404365|3|0|0|1|07604|2|1|3282014|1235|6|1|12000|Canton|76|40.797636|81.37305||WALNUT AVE SE|AV|0.0|||2ND ST SE||1|6|1|1|1|9.0|6|2|1||1|0|0|0|0.0|2|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||2||43|SR|0||1|0|1|ST
C|20146060675|78-0615-78|3|0|0|0|OHP78|1|98|6092014|530|2|3|8056|Braceville (Township of)|78|41.23410300000001|80.97614||||0.2|S||8||2|1|1|1|1||1|1|2||1|0|0|0|0.0|2|2|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0||2||534|SR|1||0|0|1|MP
C|20144007088|14-585|3|0|0|0|05003|2|99|2062014|1444|5|1|11066|Campbell|50|41.085127|80.59877||PARK|DR|0.0|||6TH||1|1|1|1|2|5.0|8|1|1||1|0|0|0|0.0|1|2|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0||2||||0||0|0|1|ST
C|20144007131|108874|3|0|0|1|02507|2|2|3132014|1558|5|3|57344|Norwich (Township of)|25|40.028399|83.10273000000002||FISHINGER|RD|40.0|W||DUBLIN||1|1|1|1|1|9.0|2|1|1||1|0|0|0|0.0|2|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||2||||2||1|0|1|RD
C|20146060834|55-0277-55|3|0|0|1|OHP55|2|2|6052014|1350|5|3|81466|Washington (Township of)|55|40.09949|84.22628||||25.0|W|||IR|1|3|1|1|1||6|1|1||1|0|0|0|0.0|2|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||2||25A|CR|2|75|1|0|1|
C|20146060929|31-0202-13|3|0|0|1|OHP31|2|1|6102014|730|3|3|49322|Miami (Township of)|13|39.232035|84.29003||||358.0|W||53.6||2|1|1|1|2||2|4|1||1|0|0|0|0.0|2|3|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0||1|W|275|IR|2||0|0|1|MP
C|20146061029|14GAH-16978-AC|3|0|0|0|02504|2|2|6092014|1813|2|1|29106|Gahanna|25|40.000703|82.8591||IR 270 SB|HW|0.0|||37.9||2|1|1|3|1||7|2|1||1|0|0|0|0.0|2|4|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|District 3|1|S|270|IR|0||0|0|1|MP
C|20146061129|145004510|3|0|0|0|CIP00|2|1|6092014|1642|2|1|15000|Cincinnati|31|39.121404|84.56815999999998||Quebec|RD|0.0|||2019||3|1|1|2|1||6|2|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3|2||||0||0|0|1|
C|20146061183|14CR1861|3|0|0|0|02300|2|1|5142014|1422|4|3|80206|Violet (Township of)|23|39.93037800000001|82.74534||||0.0|||MILNOR||1|3|1|1|2||2|4|1||1|0|0|0||2|2|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0||2||204|SR|0||1|0|0|RD
C|20146061237|145004571|3|0|0|0|CIP00|2|1|6102014|1722|3|1|15000|Cincinnati|31|39.110731|84.50115|S|Ir 71|HW|0.0|||2.1||2|1|1|1|1||2|2|1||1|0|0|0|0.0|2|4|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|2|1|S|||0||0|0|1|MP
C|20146061302|140474194|3|0|0|0|COP00|1|1|6082014|1407|1|1|18000|Columbus|25|39.993805|82.98501||||0.0|||11th||1|1|1|1|2||1|4|1||1|0|0|0|0.0|2|3|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|zone 4 cr dist 50|1|S|71|IR|0||0|0|1|AV
C|20146061392|72-0607-72|3|0|0|1|OHP72|1|1|6082014|2220|1|3|31990|Green Creek (Township of)|72|41.330614|83.0513||||140.0|E|||SR|1|2|4|1|1||1|1|4||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||1|E|0020|US|2|0019|0|0|1|
C|20146061486|140482834|3|0|0|0|COP00|2|2|6112014|1300|4|1|18000|Columbus|25|40.031293|82.96401999999998||Oakland Park|AV|0.0|||Cleveland||1|2|1|1|1||2|1|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|4/23|2||||0||1|0|1|AV
C|20146061586|28-0550-28|3|0|0|1|OHP28|2|1|6062014|1535|6|3|49700|Middlefield|28|41.436331|81.05787||||100.0|E|||SR|1|1|1|1|1||2|1|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0||2||0006|CR|2|0528|1|0|1|
C|20146061679|145004354|2|0|0|0|CIP00|2|2|6052014|1200|5|1|15000|Cincinnati|31|39.15251|84.60309000000002||Boudinot|AV|0.0|||3507||3|1|1|1|1||2|1|1||1|0|0|0|0.0|2|2|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|3/FIRE|2||||0||0|0|1|
C|20146061730|71-0813-71|3|0|0|1|OHP71|1|98|6102014|36|3|3|78540|Union (Township of)|71|39.348147|82.99184||||0.1|W||19||2|1|1|3|1||1|1|5||1|0|0|0|0.0|2|2|0|0|0|0|1|0|0|0|0|0|0|1|1|0|0||1|W|35|US|1||0|0|1|MP
C|20146061800|14GAH-16950-AC|2|0|0|0|02504|2|1|6092014|1236|2|1|29106|Gahanna|25|40.01831|82.86654|N|HAMILTON|RD|82.0|N||GRANVILLE||1|2|1|1|1||6|1|1||1|0|0|0|0.0|1|4|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0||2||||2||1|0|1|ST
