Record Type|Document Number|Local Report Number|Crash Severity|Private Property Indicator|Hit/Skip|Photos Taken|Reporting Agency NCIC|Number of Units|Unit in Error|Crash Date|Time of Crash|Day of Week|In City, Village, Township|FIPS Place Code|Enter Name of City, Village, Township|County|Latitude|Longitude|Crash/Loc Prefix|Location Road Name|Location Road Type|Distance from Reference|Direction from Reference|Ref Road Prefix|Reference Road Name|Reference Route Type|Reference Point Used|Crash Location|Location of First Harmful Event|Road Contour|Road Conditions - Primary|Road Conditions - Secondary|Manner of Crash Collision/Impact|Weather|Light Conditions - Primary|Light Conditions - Secondary|School Bus Related|Work Zone Related|Type of Work Zone|Location of Crash in Work Zone|Workers Present|Road Surface|Number of Lanes|Alcohol Related|Drug Related|Total Injured|Total Killed|Animal Related|Bicycle Related|Motorcycle Related|Speed Related|Pedestrian Related|Semi-Truck Related|Small Truck Related|Youth Related|Teen Related|Drinking Driver <21 Related|Senior Related|Local Information|Divided/Undivided roadway|Divided Lane Direction of Travel|Location Route Number|Location Route Type|Distance from Reference Measurement|Reference Route Number|Intersection Related|School Zone Related|Law Enforcement Present in Work Zone|Reference Road Type
C|20146001603|59-0023-59|3|0|0|1|OHP59|2|1|1032014|1700|6|3|14030|Chester (Township of)|59|40.496636|82.71755999999998||||15.0|S|||SR|1|8|1|1|1||2|1|1||1|0|0|0|0.0|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||2||71|IR|2|95|1|0|1|
C|20146001703|T14000121|2|0|0|0|07701|3|3|1052014|2234|1|1|1000|Akron|77|41.088759|81.55824||Moreley|AV|0.0|||561||3|1|1|1|3||8|2|4||1|0|0|0||2|2|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0||2||||0||0|0|0|
C|20146001803|14-5A|3|0|0|0|02534|2|2|1032014|1549|6|3|61840|Perry (Township of)|25|40.027284|83.09121||Riverside|DR|0.0|||003616||3|1|1|1|2|4.0|8|1|1||1|0|0|0||2|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1||2||||0||0|0|0|
C|20146001903|20140144|3|0|0|0|05713|2|1|1022014|726|5|1|79492|Vandalia|57|39.888496|84.1888||KENBROOK|ST|0.0|||611||3|1|1|3|4|3.0|1|6|2||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||2||||0||0|0|1|
C|20146002003|23-0035-23|3|0|0|1|OHP23|1|1|1062014|740|2|3|1637|Amanda (Township of)|23|39.684672|82.67370799999998||||0.1|S||11||2|1|4|3|3|4.0|1|2|2||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0||2||159|SR|1||0|0|1|MP
C|20146002103|14-0033-36|2|0|0|1|OHP14|1|1|1062014|1515|2|3|59500|Paint (Township of)|36|39.195858|83.47522||Holiday|WA|0.4|W|||CR|1|1|4|4|4||1|2|1||1|0|0|0|0.0|2|2|0|0|2|0|0|0|0|1|0|0|0|0|0|0|0||2||||1|83|0|0|1|
C|20146002203|27-0026-53|2|0|0|1|OHP27|1|1|1052014|2036|1|2|69358|Rutland|53|39.029526|82.10181999999998||||0.3|W||15||2|1|4|2|2||1|4|5||1|0|0|0|0.0|2|2|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0||2||124|SR|1||0|0|1|MP
C|20146002303|13-0072-13|2|0|0|1|OHP13|1|1|1072014|2252|3|3|76155|Tate (Township of)|13|38.93036|84.14238||||0.1|N||12||2|1|4|1|1||1|2|5||1|0|0|0|0.0|2|2|0|1|1|0|0|0|0|0|0|0|0|1|0|0|0||2||222|SR|1||0|0|1|MP
C|20146002403|78-0023-78|2|0|1|1|OHP78|2|2|1062014|1720|2|3|43344|Liberty (Township of)|78|41.136141|80.66549||||0.8|S||1||2|1|1|2|1||3|2|5||1|0|0|0|0.0|2|4|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0||2||193|SR|1||0|0|1|MP
C|20146002504|140019721|2|0|0|0|COP00|2|2|1082014|713|4|1|18000|Columbus|25|39.944779|82.8778|E|Livingston|AV|1.0|W|S|Hamilton||1|2|1|1|1||6|2|2||1|0|0|0|0.0|2|6|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|Zone 2|2||||2||1|0|1|RD
C|20146002604|140009197|3|0|2|0|COP00|1|1|1042014|333|7|1|18000|Columbus|25|39.95088|82.94431||Ir-70|HW|100.0|W||MAIN||1|1|1|3|2||1|1|4||1|0|0|0|0.0|2|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5/124|1|E|70|IR|2||0|0|1|ST
C|20146002704|67-0039-67|3|0|0|1|OHP67|1|98|1072014|2157|3|3|75189|Suffield (Township of)|67|41.022527|81.35486||||0.4|W|||SR|1|1|1|2|1||1|1|5||1|0|0|0|0.0|2|2|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0||2||87|CR|1|43|0|0|1|
C|20146002804|41-0024-41|3|0|0|1|OHP41|1|1|1062014|449|2|3|72767|Smithfield (Township of)|41|40.269668|80.83886||||0.1|W|||CR|1|1|4|4|3|4.0|1|6|5||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0||2||10|CR|1|11|0|0|1|
C|20146002904|140022856|3|0|2|0|COP00|2|2|1092014|1025|5|1|18000|Columbus|25|39.980531|82.98018|N|I 71|HW|1.0|N||old leonard|SR|1|3|1|1|1||7|1|1||1|0|0|0|0.0|2|2|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0||2||71|IR|2|0|1|0|1|AV
C|20146003004|2014000000097|3|0|0|0|03144|2|1|1092014|655|5|3|31752|Green (Township of)|31|39.195226|84.6619||Harrison Av|AV|0.0|||006580||3|1|1|2|2||2|1|5||1|0|0|0||1|4|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0||2||||0||0|0|0|
C|20146003104|14-94|3|0|0|1|05213|1|1|1042014|28|7|3|51856|Montville (Township of)|52|41.069694|81.8036||WADSWORTH|RD|0.0|||7501 WADSWORTH RD||3|1|1|4|2||1|2|5||1|0|0|0||2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||2||57|SR|0||0|0|0|
C|20146003204|14000298|3|0|0|0|03501|1|98|1092014|1201|5|1|53550|Napoleon|35|41.407807|84.1013|E|RIVERVIEW|ST|0.0|||LAMAR||1|3|1|1|4|3.0|1|1|1||1|0|0|0|0.0|2|2|0|0|0|0|1|0|0|0|0|0|1|0|0|0|1||2||||0||0|0|1|LA
C|20146003304|T14000191|2|0|0|0|07701|3|3|1092014|1656|5|1|1000|Akron|77|41.029422|81.50097|E|Waterloo|RD|0.0|||726||3|1|1|1|2||7|2|3||1|0|0|0||2|2|0|0|2|0|0|0|0|1|0|0|0|0|0|0|1||2||||0||0|0|0|
