date,team
20180429,BOS
20180429,SEA
20180429,HOU
20180429,KCA
20180429,CIN
20180429,TOR
20180430,ARI
20180430,CHN
20180430,MIL
20180430,MIA
20180430,SFN
20180430,WAS
20180430,BOS
20180430,CLE
20180430,TBA
20180430,HOU
20180430,TOR
20180501,ARI
20180501,COL
20180501,MIL
20180501,MIA
20180501,ATL
20180501,SDN
20180501,SLN
20180501,WAS
20180501,ANA
20180501,KCA
20180501,TEX
20180501,DET
20180501,NYA
20180501,TOR
20180501,SEA
20180502,LAN
20180502,COL
20180502,MIL
20180502,PHI
20180502,ATL
20180502,SFN
20180502,SLN
20180502,WAS
20180502,ANA
20180502,BOS
20180502,CLE
20180502,DET
20180502,NYA
20180502,MIN
20180502,OAK
20180503,LAN
20180503,ATL
20180503,WAS
20180503,ANA
20180503,CHA
20180503,TOR
20180503,CLE
20180503,NYA
20180503,KCA
20180503,SEA
20180503,TEX
20180504,HOU
20180504,SFN
20180504,CIN
20180504,PIT
20180504,COL
20180504,LAN
20180504,SLN
20180504,WAS
20180504,MIN
20180504,KCA
20180504,NYA
20180504,OAK
20180504,ANA
20180504,TBA
20180504,BOS
20180505,ARI
20180505,SFN
20180505,MIA
20180505,MIL
20180505,COL
20180505,SDN
20180505,SLN
20180505,PHI
20180505,MIN
20180505,DET
20180505,NYA
20180505,OAK
20180505,SEA
20180505,TBA
20180505,BOS
20180506,ARI
20180506,SFN
20180506,MIA
20180506,PIT
20180506,COL
20180506,SDN
20180506,SLN
20180506,WAS
20180506,MIN
20180506,KCA
20180506,NYA
20180506,OAK
20180506,ANA
20180506,TOR
20180506,BOS
20180507,CHN
20180507,NYN
20180507,PHI
20180507,WAS
20180507,MIN
20180507,HOU
20180507,TEX
20180508,CHN
20180508,CIN
20180508,COL
20180508,ARI
20180508,MIL
20180508,PHI
20180508,WAS
20180508,MIN
20180508,KCA
20180508,PIT
20180508,NYA
20180508,HOU
20180508,ATL
20180508,DET
20180508,SEA
20180509,CHN
20180509,CIN
20180509,ANA
20180509,LAN
20180509,CLE
20180509,PHI
20180509,SDN
20180509,BAL
20180509,PIT
20180509,NYA
20180509,HOU
20180509,ATL
20180509,TEX
20180509,TOR
20180510,WAS
20180510,MIL
20180510,CIN
20180510,ATL
20180510,PHI
20180510,SLN
20180510,ANA
20180510,BAL
20180510,BOS
20180510,SEA
20180511,WAS
20180511,CHN
20180511,MIL
20180511,CIN
20180511,MIA
20180511,NYN
20180511,PIT
20180511,SLN
20180511,MIN
20180511,BAL
20180511,KCA
20180511,TEX
20180511,OAK
20180511,TOR
20180512,WAS
20180512,CHN
20180512,COL
20180512,CIN
20180512,ATL
20180512,PIT
20180512,SDN
20180512,MIN
20180512,BAL
20180512,TBA
20180512,CLE
20180512,DET
20180512,SEA
20180512,HOU
20180512,NYA
20180512,BOS
20180513,WAS
20180513,CHA
20180513,MIL
20180513,CIN
20180513,ATL
20180513,PHI
20180513,SFN
20180513,SDN
20180513,ANA
20180513,BAL
20180513,CLE
20180513,DET
20180513,HOU
20180513,NYA
20180513,BOS
20180514,MIL
20180514,ATL
20180514,COL
20180514,SFN
20180514,ANA
20180514,OAK
20180514,DET
20180514,TBA
20180514,SEA
20180515,ARI
20180515,CHN
20180515,MIA
20180515,NYN
20180515,PIT
20180515,SDN
20180515,SFN
20180515,WAS
20180515,HOU
20180515,OAK
20180515,DET
20180515,TBA
20180515,MIN
20180515,SEA
20180516,MIL
20180516,ATL
20180516,MIA
20180516,TOR
20180516,PIT
20180516,CIN
20180516,HOU
20180516,PHI
20180516,BOS
20180516,CLE
20180516,TBA
20180516,SLN
20180516,TEX
20180517,LAN
20180517,PIT
20180517,COL
20180517,PHI
20180517,TBA
20180517,BOS
20180517,CHA
20180517,DET
20180517,OAK
20180518,MIA
20180518,CHN
20180518,NYN
20180518,SDN
20180518,COL
20180518,SLN
20180518,TBA
20180518,BAL
20180518,TEX
20180518,HOU
20180518,KCA
20180518,MIL
20180518,SEA
20180518,OAK
20180519,ATL
20180519,CIN
20180519,CHN
20180519,NYN
20180519,SDN
20180519,SFN
20180519,PHI
20180519,LAN
20180519,LAN
20180519,TBA
20180519,BOS
20180519,CHA
20180519,CLE
20180519,NYA
20180519,MIL
20180519,SEA
20180519,OAK
20180520,ATL
20180520,CHN
20180520,NYN
20180520,SDN
20180520,SFN
20180520,SLN
20180520,LAN
20180520,ANA
20180520,BOS
20180520,CHA
20180520,HOU
20180520,NYA
20180520,MIN
20180520,SEA
20180520,OAK
20180521,COL
20180521,MIL
20180521,NYN
20180521,PHI
20180521,SLN
