maxTemp,minTemp,wind,longitude,latitude
31.44,16.43,25.61,-88.4,47.2
31.43,16.8,26.2,-88.4,47.3
34.89,21.36,18.18,-88.3,46.0
34.11,20.19,18.26,-88.3,46.1
33.91,19.76,18.07,-88.3,46.2
33.83,19.66,18.0,-88.3,46.3
33.71,19.63,19.48,-88.3,46.4
34.84,19.44,19.03,-88.3,46.5
34.68,19.07,19.35,-88.3,46.6
34.57,18.92,19.62,-88.3,46.7
33.98,18.4,21.18,-88.3,46.8
32.96,17.23,22.99,-88.3,47.1
32.48,16.5,22.57,-88.3,47.2
31.99,16.73,24.56,-88.3,47.3
31.4,16.53,25.13,-88.3,47.4
35.35,21.62,17.81,-88.2,46.0
34.56,20.8,17.84,-88.2,46.1
34.0,19.93,17.92,-88.2,46.2
34.16,20.08,19.26,-88.2,46.3
33.86,19.55,18.82,-88.2,46.4
34.92,19.35,18.81,-88.2,46.5
34.88,19.17,18.93,-88.2,46.6
34.64,18.95,19.22,-88.2,46.7
34.25,18.49,20.45,-88.2,46.8
32.22,16.67,23.69,-88.2,47.3
31.9,16.54,24.5,-88.2,47.4
36.5,21.59,18.29,-88.1,45.8
35.72,22.08,18.19,-88.1,45.9
35.62,21.97,18.05,-88.1,46.0
35.03,21.37,17.37,-88.1,46.1
34.48,20.57,19.14,-88.1,46.2
34.97,19.73,18.9,-88.1,46.3
35.01,19.45,18.55,-88.1,46.4
35.01,19.24,18.56,-88.1,46.5
35.0,19.07,18.59,-88.1,46.6
34.84,18.86,18.76,-88.1,46.7
34.51,18.44,19.86,-88.1,46.8
34.09,17.8,21.34,-88.1,46.9
32.39,16.59,23.5,-88.1,47.3
32.11,16.47,24.03,-88.1,47.4
35.86,22.45,18.48,-88.0,45.8
35.72,22.14,18.15,-88.0,45.9
35.64,22.0,17.97,-88.0,46.0
35.02,21.71,17.35,-88.0,46.1
34.57,20.66,19.03,-88.0,46.2
35.07,19.79,18.65,-88.0,46.3
35.08,19.52,18.57,-88.0,46.4
35.1,19.29,18.49,-88.0,46.5
35.14,19.1,18.39,-88.0,46.6
35.23,18.72,18.61,-88.0,46.7
34.85,18.34,19.04,-88.0,46.8
34.62,18.18,19.73,-88.0,46.9
32.2,16.41,23.49,-88.0,47.4
35.79,22.7,18.08,-87.9,45.8
35.75,22.53,17.92,-87.9,45.9
35.7,21.92,17.33,-87.9,46.0
35.05,21.71,17.3,-87.9,46.1
34.92,20.9,18.12,-87.9,46.2
35.12,19.68,18.5,-87.9,46.3
35.14,19.4,18.35,-87.9,46.4
35.19,19.16,18.18,-87.9,46.5
35.29,18.98,17.96,-87.9,46.6
35.51,18.6,17.86,-87.9,46.7
35.67,18.35,17.51,-87.9,46.8
35.39,18.29,18.46,-87.9,46.9
32.26,16.34,23.04,-87.9,47.4
36.86,25.96,20.33,-87.8,45.4
35.91,23.44,18.68,-87.8,45.7
35.81,22.84,18.07,-87.8,45.8
35.8,22.49,17.31,-87.8,45.9
35.74,22.25,17.08,-87.8,46.0
35.33,21.7,16.7,-87.8,46.1
34.89,20.71,18.43,-87.8,46.2
35.28,19.7,18.31,-87.8,46.3
35.19,19.25,18.11,-87.8,46.4
35.26,19.0,17.85,-87.8,46.5
35.44,18.63,17.85,-87.8,46.6
35.8,18.46,17.05,-87.8,46.7
36.55,17.8,15.12,-87.8,46.8
32.75,16.64,23.94,-87.8,47.4
37.62,27.18,20.23,-87.7,45.2
36.9,26.01,20.29,-87.7,45.4
36.66,25.29,19.52,-87.7,45.5
36.25,24.08,18.55,-87.7,45.6
36.42,23.72,17.54,-87.7,45.7
35.89,22.82,17.47,-87.7,45.8
35.82,22.55,17.28,-87.7,45.9
35.75,22.27,17.06,-87.7,46.0
35.54,21.59,18.03,-87.7,46.1
35.28,21.05,17.66,-87.7,46.2
35.42,19.79,17.74,-87.7,46.3
35.26,19.06,17.52,-87.7,46.4
35.33,18.74,17.14,-87.7,46.5
